Game_no,End_board,Black_score,Winner,Move_record
48,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-56,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 81, None, 71, None, 63, None, 52, 61, 51, None, 41, None, 21, None, 26, None, 17, None, 14, 24, 13, 23, 32, 22, 11, None, 12, None, 15, None]"
49,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-18,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 27, 25, 15, 24, 26, 14, 13, 23, 12, 57, 22, 32, 73, 11, 58, 16, 17, 82, 72, 48, 81, None, 63, 52, 62, 71, 61, None, 21, 41, 51, None]"
50,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-44,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 52, 61, 81, None, 71, None, 41, 51, 24, 23, 21, None, 26, None, 32, None, 17, None, 13, 22, 14, None, 12, None, 15, 11, None]"
51,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-62,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 73, 82, 63, 72, 81, None, 62, 71, 35, 26, 51, 27, 61, None, 52, None, 41, None, 57, None, 21, None, 22, 32, 24, 12, 11, None, 23, None, 13, None, 15, 16, 25, 18, 58, 14, 17, None]"
52,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-8,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 27, 25, 15, 24, 26, 14, 13, 23, 12, 57, 16, 22, 21, 11, 48, 17, 73, 82, 81, 32, 62, 71, 61, 58, 52, 51, 41, None, 72, None, 63, None]"
53,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', 'White', 'White', '.', '.', 'White', 'White', 'White', 'White', '?', '?', 'White', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-56,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 68, 38, 48, None, 83, None, 63, 73, 82, 57, 58, 27, 62, 72, 52, 71, 81, 61, 51, None, 41, None, 21, None, 25, None, 18, 17, 26, None, 16, None, 22, None]"
54,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-6,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 27, 25, 15, 24, 48, 14, 26, 58, 57, 17, 16, None, 73, 82, 72, 62, 81, None, 63, None, 71, 52, 22, 11, 23, 32, 13, 12, 21, 41, 51, 61, None]"
55,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 62, 63, 27, 61, 73, 82, 81, 25, 72, 26, 57, 58, 48, None, 24, 14, 17, 16, 15, None, 71, 52, 41, 51, 21, 32, 23, 22, 11, 12, 13, None]"
56,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-6,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 52, 61, 41, 58, 57, 18, 21, 11, 15, 16, 25, 14, 17, None, 13, 12, 24, 32, 23, 22, None]"
57,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 27, 25, 15, 24, 48, 14, 26, 58, 57, 17, 16, None, 73, 82, 72, 62, 61, None, 81, None, 23, 13, 71, 63, 32, 22, 52, 51, 41, None, 21, 11, 12, None]"
58,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 13, 12, 23, 32, 22, 52, 21, 11, 71, 61, 51, 41, None]"
59,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-28,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 52, 61, 41, 58, 57, 18, 21, 11, 25, 16, 14, 32, 24, 23, 22, 13, 17, 15, 12, None]"
60,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-44,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 62, 63, 57, 61, 48, 26, 73, 82, 81, 58, 72, None, 25, 14, 24, 23, 27, 16, 71, 52, 51, None, 41, None, 21, None, 17, 15, 32, None, 12, 22, 11, None, 13, None]"
61,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 72, 62, 22, 23, 63, 11, 81, None, 57, 58, 48, None, 28, None, 27, 18, 16, None, 51, 71, 61, None, 52, None, 41, None, 32, 25, 24, None, 15, 26, 14, 12, 13, 17, 21, None]"
62,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-24,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 22, 24, 41, 11, 21, None, 13, None, 32, 25, 18, 23, 58, 12, 14, 15, 57, None, 17, 16, None]"
63,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-45,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 15, 16, 41, 14, 18, 57, 58, None, 21, 11, 17, 24, 13, None, 25, None, 23, None]"
64,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-35,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 68, 38, 48, None, 83, None, 73, 82, 63, 72, 81, None, 62, 71, 27, 25, 51, 18, 61, 58, 52, None, 57, None, 26, 15, 41, None, 21, None, 17, 16, 22, 32, 23, None, 24, 14, None]"
65,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-43,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 15, 16, 41, 14, 18, 57, 17, 24, 21, 11, 58, None, 25, None, 13, None, 23, None]"
66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-62,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 73, 82, 63, 72, 81, None, 62, 71, 35, 26, 51, 27, 61, None, 52, None, 41, None, 57, None, 21, None, 22, 32, 24, 12, 11, None, 13, None, 23, None, 15, 16, 25, 18, 58, 14, 17, None]"
67,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 22, 24, 41, 11, 21, None, 13, None, 32, 25, 14, 23, 12, 15, 18, 57, 16, 17, 58, None]"
68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 62, 63, 27, 61, 73, 82, 81, 25, 72, 26, 57, 58, 48, None, 24, 14, 71, 52, 51, None, 41, None, 21, None, 17, 16, 23, 32, 15, None, 12, 22, 11, None, 13, None]"
69,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-45,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 15, 16, 41, 14, 18, 57, 58, None, 17, 24, 13, None, 21, 11, 25, None, 23, None]"
70,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-43,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 61, 51, 52, None, 15, 16, 41, 14, 18, 57, 58, None, 21, 11, 17, 24, 25, None, 13, None, 23, None]"
71,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 24, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 81, None, 51, 52, 61, None, 71, 63, 41, 32, 21, None, 12, 13, 23, None, 14, 15, 25, 26, 16, 17, 18, None]"
